Date,Open,High,Low,Close,Volume
2019-03-14,114.65,114.86,114.22,114.45,143729
2019-03-13,115.38,116.36,115.29,116.03,63214
2019-03-12,115.9,115.92,115.31,115.49,81229
2019-03-11,115.23,116.07,115.23,115.85,138567
2019-03-08,113.59,114.48,113.59,114.46,103075
2019-03-07,114.98,115.0,113.59,114.01,142472
2019-03-06,114.86,115.05,114.63,114.73,157366
2019-03-05,115.23,115.23,114.67,115.0,154075
2019-03-04,115.74,115.75,114.71,115.16,247117
2019-03-01,117.08,117.28,116.33,117.02,217495
2019-02-28,117.96,118.09,117.22,117.71,128344
2019-02-27,119.32,119.38,118.72,118.95,136691
2019-02-26,119.37,120.25,119.37,119.83,105272
2019-02-25,119.33,119.56,119.03,119.04,122766
2019-02-22,118.58,118.65,118.1,118.47,108017
2019-02-21,118.39,118.61,117.75,117.9,177966
2019-02-20,118.94,119.96,118.92,119.4,177947
2019-02-19,117.2,118.42,117.2,118.14,107057
2019-02-15,117.03,117.89,116.89,117.81,169614
2019-02-14,115.8,116.2,115.36,115.97,242270
2019-02-13,116.66,116.76,116.07,116.33,114504
2019-02-12,115.76,116.53,115.76,116.48,213535
2019-02-11,114.64,114.64,113.77,113.92,172204
2019-02-08,114.05,114.09,113.19,114.08,211920
2019-02-07,115.96,116.12,114.15,114.86,319516
2019-02-06,118.37,118.64,117.26,117.71,278854
2019-02-05,120.12,120.31,119.82,120.07,123774
2019-02-04,119.07,119.55,118.58,119.51,106937
2019-02-01,119.06,119.27,118.3,118.63,157036
2019-01-31,119.32,119.98,118.96,119.78,111551
2019-01-30,118.73,120.09,118.34,119.65,136009
2019-01-29,119.11,119.44,118.82,118.9,87692
2019-01-28,118.89,119.2,118.51,119.11,135783
2019-01-25,120.33,120.57,120.06,120.31,82241
2019-01-24,119.26,119.68,118.94,119.44,92910
2019-01-23,119.68,119.88,118.56,119.1,134266
2019-01-22,120.58,120.93,119.67,120.2,164291
2019-01-18,121.45,122.32,121.42,121.9,163045
2019-01-17,121.06,121.84,120.6,121.48,142594
2019-01-16,122.59,122.88,122.14,122.2,176211
2019-01-15,122.68,123.15,122.0,122.8,177183
2019-01-14,121.1,122.62,121.06,121.93,160985
2019-01-11,121.57,122.06,121.44,121.63,139308
2019-01-10,120.3,121.14,119.87,121.06,208684
2019-01-09,119.46,119.9,119.02,119.53,143757
2019-01-08,119.77,120.08,118.6,118.94,154631
2019-01-07,117.39,118.81,117.0,117.94,160542
2019-01-04,114.69,116.86,114.27,116.43,316226
2019-01-03,112.65,113.08,111.14,111.49,318246
2019-01-02,111.52,113.32,111.52,113.08,174697
